coche_datos_generales,coche_datos_tecnicos,coche_equipamiento,coche_nombre
"Diésel,354121 km,125 kW (170 CV, 400 Nm),Gris ,05-2004,Negro,5,Toledo ,Cambio automático,0 meses,5 puertas,Combinado 7.1 l",,,
"Gasolina,126883 km,125 kW (170 CV, 210 Nm),Gris Plata ,09-2007,Negro,4,Alicante ,Cambio automático,12 meses,2 puertas,Combinado 6.3 l",,,
"Diésel,48334 km,81 kW (110 CV, 240 Nm),Gris Plata ,08-2013,Negro,5,Madrid ,Cambio manual,12 meses,5 puertas,Combinado 4.9 l",,,
"Gasolina,98625 km,54 kW (75 CV, 118 Nm),Rojo ,01-2008,Negro,5,Madrid ,Cambio manual,12 meses,5 puertas,Combinado 6.3 l",,,
"Gasolina,87882 km,88 kW (120 CV, 160 Nm),Blanco ,12-2010,Negro,5,Madrid ,Cambio manual,12 meses,5 puertas,Combinado 6.7 l",,,
"Gasolina,67998 km,85 kW (115 CV, 190 Nm),Granate ,11-2015,Negro,5,Madrid ,Cambio manual,12 meses,5 puertas,Combinado 5.7 l",,,
"Diésel,140200 km,165 kW (225 CV, 470 Nm),Gris ,07-2015,Negro,7,Madrid ,Cambio automático,12 meses,5 puertas,Combinado 5.8 l",,,
"Gasolina,27329 km,135 kW (184 CV, 300 Nm),Gris Plata ,04-2019,Negro,5,Madrid ,Cambio automático,24 meses,4 puertas,Combinado 5.5 l",,,
"Diésel,123700 km,110 kW (150 CV, 380 Nm),Negro ,11-2015,Negro,5,Madrid ,Cambio manual,12 meses,5 puertas,Combinado 4.1 l",,,
"Diésel,80000 km,110 kW (150 CV, 340 Nm),Negro ,03-2018,Negro,9, ,Cambio automático,12 meses,4 puertas,Combinado 6.1 l",,,
"Diésel,195813 km,82 kW (112 CV, 285 Nm),Granate ,01-2013,Negro,5,Alicante ,Cambio manual,12 meses,5 puertas,Combinado 5.2 l",,,
"Diésel,125482 km,121 kW (165 CV, 340 Nm),Negro ,01-2007,Gris,5,Madrid ,Cambio manual,12 meses,5 puertas,Combinado 8.9 l",,,
"Diésel,32400 km,85 kW (115 CV, 280 Nm),Azul ,10-2017,Negro,5,Madrid ,Cambio manual,12 meses,5 puertas,Combinado 4.6 l",,,
"Diésel,192500 km,120 kW (163 CV, 400 Nm),Verde ,02-2012,Gris,5,Madrid ,Cambio manual,12 meses,5 puertas,Combinado 5.2 l",,,
"Gasolina,110567 km,86 kW (117 CV, 160 Nm),Beige ,10-2005,Beige,5,Valencia ,Cambio manual,12 meses,5 puertas,Combinado 7.7 l",,,
"Diésel,111000 km,140 kW (190 CV, 400 Nm),Negro ,02-2016,Negro,5, ,Cambio automático,12 meses,5 puertas,Combinado 5.7 l",,,
"Diésel,66085 km,140 kW (190 CV, 400 Nm),Azul ,09-2017,Negro,5, ,Cambio automático,12 meses,5 puertas,Combinado 4.3 l",,,
"Diésel,105380 km,110 kW (150 CV, 340 Nm),Azul ,08-2016,Negro,5, ,Cambio manual,12 meses,5 puertas,Combinado 4.5 l",,,
"Diésel,38700 km,85 kW (116 CV, 250 Nm),Rojo ,06-2018,Negro,5,Cambio manual,12 meses,5 puertas,Combinado 4.1 l",,,
"Gasolina,10000 km,100 kW (136 CV, 230 Nm),Negro ,01-2020,Negro,5,Cambio manual,24 meses,5 puertas,Combinado 6.3 l",,,
